Title,Link
"Julho de 2023 deve ser o mês mais quente da história, diz observatório",https://g1.globo.com/meio-ambiente/noticia/2023/07/27/julho-de-2023-deve-ser-o-mes-mais-quente-ja-registrado-apontam-omm-e-observatorio-europeu.ghtml
"Corrente oceânica pode colapsar e ameaçar vida na Terra, diz estudo",https://g1.globo.com/meio-ambiente/noticia/2023/07/27/circulacao-do-oceano-atlantico-norte-vai-entrar-em-colapso-ate-o-fim-do-seculo-por-causa-da-mudanca-climatica-projeta-estudo.ghtml
"'Não é esmola, é reparação histórica': os quilombolas visitados por Lula em campanha que esperam demarcação há 18 anos",https://www.bbc.com/portuguese/articles/c9ekgzy0k5ro
Por que jovens bebem cada vez menos álcool?,https://www.bbc.com/portuguese/articles/cedeypvj97lo
Como Rússia está segurando contraofensiva da Ucrânia,https://www.bbc.com/portuguese/articles/cekydnjn7dzo
Síndrome de Patau: sintomas e tratamentos de doença genética rara,https://www.bbc.com/portuguese/articles/cn0z73j99wno
Militares do Níger anunciam golpe de Estado na TV,https://www.bbc.com/portuguese/articles/ckkxqg1q37po
Sinéad O'Connor: como cantora foi ordenada sacerdotisa e acabou se convertendo ao Islã após rasgar foto do papa,https://www.bbc.com/portuguese/articles/cz93nkyl5w1o
Dilma encontra Putin: os interesses da Rússia no Brics para tentar 'driblar' sanções após invasão da Ucrânia,https://www.bbc.com/portuguese/articles/cgl8np44yg8o
Paracetamol: o remédio que virou principal causa de falência do fígado,https://www.bbc.com/portuguese/articles/czdvyl8vdx3o
Alienígenas na Terra? O que Congresso dos EUA investigará sobre óvnis,https://www.bbc.com/portuguese/articles/cyd56lz001no
Caso Marielle: o que acontece após delação que levou a nova prisão de suspeito,https://www.bbc.com/portuguese/articles/crgked74xe3o
Pesquisadores buscam vestígios de um dos últimos 'navios negreiros' a atracar no Brasil,https://www.bbc.com/portuguese/articles/cndkrkw9pyjo
Apostas esportivas: o que mudará para apostadores e empresas com novas regras?,https://www.bbc.com/portuguese/articles/cekyr8dn3xlo
"Pacote de Lula sobre 'crimes contra a democracia' é apressado e pouco eficaz, diz jurista Oscar Vilhena",https://www.bbc.com/portuguese/articles/c2x562kmyrzo
País do beach tennis? Por que número de praticantes quase triplicou no Brasil,https://www.bbc.com/portuguese/articles/c25gdz825eeo
Como empresas brasileiras e multinacionais colaboraram com a ditadura,https://www.bbc.com/portuguese/articles/cglyrxpyr5go
"Os 3 desafios da economia mundial, segundo o FMI — e um dado positivo para o seu bolso",https://www.bbc.com/portuguese/articles/cekyr4eg10yo
Como onda de calor joga luz sobre condições dos presos nos EUA,https://www.bbc.com/portuguese/articles/cd1nz94w4wgo
Há antiamericanismo na relação do governo Lula com os EUA?,https://www.bbc.com/portuguese/articles/cv2j9y74p27o
A nação africana onde mercenários pró-Rússia do grupo Wagner operam,https://www.bbc.com/portuguese/articles/c90v1vq9vy4o
O livro sagrado indiano que influenciou Oppenheimer,https://www.bbc.com/portuguese/articles/c98pnnjleq3o
